OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;MIS_A_JOUR;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;PARC_RELAI;AB_1M_RELA;geo_shape;geo_point_2d
193;94;CAMBRONNE (SURFACE);5/M ET 8/M BOULEVARD GARIBALDI;5 M BOULEVARD GARIBALDI;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;3;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;648858.956;6861074.914;2019-05-01;7F 7H 7J 7K 15E 15F 15G 15K 15L 15M 15P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.303116352400447, 48.847687253205045]}";48.8476872532,2.3031163524
194;190;CAMBRONNE (SURFACE);5/M ET 8/M BOULEVARD GARIBALDI;8 M BOULEVARD GARIBALDI;E2;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;3;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;648838.756;6861035.73;2019-05-01;7F 7H 7J 7K 15E 15F 15G 15K 15L 15M 15P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.302845821441228, 48.847333270581935]}";48.8473332706,2.30284582144
211;111;DIDOT;2 TER RUE DIDOT;2 TER RUE DIDOT;E1;14;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;OUI;01/07/2018;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;4;ND;ND;ND;ND;ND;ND;15;ND;70,00;173,00;670,00;ND;650192.8852;6859530.4585;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1675,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.321473340944152, 48.83390245079516]}";48.8339024508,2.32147334094
272;149;MANDEL 2 (SURFACE);69 AVENUE GEORGES MANDEL;69 AVENUE GEORGES MANDEL;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;01/01/2019;137,00;1370,00;OUI;822,00;1096,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;68,50;195,00;685,00;68,50;195,00;685,00;0;ND;ND;ND;ND;ND;647000.6554;6862887.5288;2019-05-01;16F 16G 16H 16I 16J 16K 16L 16M 16N 16P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.277569261485475, 48.86383763695142]}";48.863837637,2.27756926149
309;176;PORTE D ORLEANS;7 RUE DE LA LÉGION ÉTRANGÈRE ET 8 AVENUE DE LA PORTE D'ORLÉANS;8 AVENUE DE LA PORTE D ORLEANS;E2;14;SAEMES;WWW.SAEMES.FR;01 40 52 09 20;185;260;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2018;142,00;1420,00;OUI;852,00;1136,00;NON;ND;01/07/2018;0,85;1,70;3,35;5,05;6,70;10,05;13,40;23,45;26,80;30,15;30,15;30,15;30,15;30,15;14;71,00;199,00;710,00;71,00;199,00;710,00;24;1,15;49,70;139,30;497,00;15,00;650508.6083;6858024.4178;2019-05-01;TOUT PARIS;0,30;0,60;10,35;OUI;297,70;397,60;NON;ND;1820,00;NON;OUI;75,00;"{""type"": ""Point"", ""coordinates"": [2.325949389761584, 48.82038276992376]}";48.8203827699,2.32594938976
323;144;SAINT JACQUES 2 (SURFACE);4/M BOULEVARD SAINT JACQUES;4 M BOULEVARD SAINT JACQUES;E1;14;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;01/01/2019;106,70;1067,00;OUI;640,00;853,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;53,30;152,50;533,50;53,30;152,50;533,50;0;ND;ND;ND;ND;ND;651614.6666;6859331.2223;2019-05-01;5E 13F 13G 13H 13J 13L 14H 14J 14L 14N 14P;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.340864135927218, 48.832219009150165]}";48.8322190092,2.34086413593
330;95;SAXE (SURFACE);54/M AVENUE DE SAXE;54 M AVENUE DE SAXE;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;NON;01/01/2019;137,00;1370,00;OUI;822,00;1096,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;68,50;195,00;685,00;68,50;195,00;685,00;0;ND;ND;ND;ND;ND;649527.7136;6860950.9963;2019-05-01;6F 7H 7J 7K 7M 7N 14N 15G 15H 15J 15K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.312243554524215, 48.84662560000733]}";48.8466256,2.31224355452
335;63;SUFFREN;8 TER PLACE JOFFRE, 13 AVENUE ÉMILE ACOLLAS, 77 AVENUE DE SUFFREN;8 TER PLACE JOFFRE;E1;7;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;ND;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;648856.503;6861709.344;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.303006619668331, 48.853392428967545]}";48.853392429,2.30300661967
338;36;TERNES;4, 38 ET 61 AVENUE DES TERNES;38 AVENUE DES TERNES;E1;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/01/2019;240,00;2400,00;OUI;1046,50;1744,50;NON;ND;01/01/2019;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;22;120,00;336,00;1200,00;120,00;336,00;1200,00;100;1,45;84,00;235,20;840,00;10,00;648173.0977;6864565.613;2019-05-01;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,40;0,75;13,05;OUI;366,00;610,50;NON;ND;3000,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.293345187761946, 48.8790235907566]}";48.8790235908,2.29334518776
199;75;CHAMPAGNY;15/M RUE CASIMIR PÉRIER;15 M RUE CASIMIR PERIER;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;01/07/2018;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;650068.5712;6862211.2327;2019-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3415,00;NON;NON;ND;"{""type"": ""Point"", ""coordinates"": [2.31946514223471, 48.85800093033438]}";48.8580009303,2.31946514223
